author;link;relevant;how;requirements;ind;hier;similarity;skillclass;identified skillclass;skill;identified skill;primitive;identified primitive;parametrizedskill;identified parametrizedskill;task;identified task;request;identified request;process;identified process;arch;impl;param;paramtype
Backhaus (2017);https://link.springer.com/article/10.1007/s10845-015-1063-3;Y;rsch;6, 8;X;X;STD;Basic processes;Skills in assembly systems;Skill;move, connect, compare, store, change;Commands, Simple skill;transport, turn, open move, guided move, guided move linear, guided move circular, guided move spline, soldering, soldering with fluid, soldering with gas, soldering with emission, soldering with electrical gas discharge, welding, pressure welding, screwing, bonding, compare presence, compare identity, compare form, compare position, compare weight, compare colour, compare orientation, store organized, store fractrional organized, store desorganized;-;-;Task model;-;-;-;Processes;-;X;AutomationML, PLCOpen;input values, return values;MACH
Backhaus (2015);https://www.sciencedirect.com/science/article/pii/S2212827115007167;Y;rsch;-;X;X;-;-;-;-;-;-;-;Process Sequence, Skill Sequence;-;Task;-;-;-;-;-;X;AutomationML, SFC;-;-
Pedersen (2016);https://www.sciencedirect.com/science/article/abs/pii/S0736584515000575 ;Y;rsch;-;X;X;STD;Skills;logistic, assistive, service, calibration;Skill;transportation, part feeding, machine tending, assembly, inspection, process, maintenance, repair, cleaning, haptic calibration, visual high precision calibration, visual high speed calibration;Device primitives;-;-;-;Task;-;-;-;-;-;-;ROS;-;-
Andersen (2014);https://ieeexplore.ieee.org/abstract/document/6840115;Y;rsch;7, 8;X;X;STD;-;-;Skill;simple picking, placement in fixture, simple assembly, machine feeding, locate object, pick and place;Primitives (Motor and Perception);-;-;-;Task;-;-;-;Actions;-;X;-;object, object pose estimation, place pose;HUM/MACH
Fechter (2018);https://www.sciencedirect.com/science/article/pii/S221282711830338X;Y;rsch;8;X;-;STD;-;-;Skill;separation, handling, positioning, joining, special operation;-;-;-;-;-;-;-;-;-;-;-;AutomationML, SPARQL;-;-
Schleipen (2014);http://publica.fraunhofer.de/eprints/urn_nbn_de_0011-n-3158769.pdf;Y;rsch;7;X;X;-;-;-;Skill;cooled Drilling, countersink Drilling;-;-;Executable skill;-;Executable task;-;-;-;Process;manufacturing, logistics;X;AutomationML, OPC UA;height, shape;MACH
Stenmark (2014);https://www.sciencedirect.com/science/article/abs/pii/S073658451400060X;Y;rsch;7, 8, 11;X;-;STD;Main Function;displacement, manufacturing Function, manipulation And Handling Function, optic Function, lightung Function, sensor Function, processing;Skill;move, modify amount, store, secure;Parametrized motion, primitive skill;linearMove, pass, convery, rotate, velocity, orient, feed, destination, arrange, displace, position;-;-;-;-;-;-;Production process;manipulation, handling;X;SFC, PLCOpen, Statecharts, rFSMs, IML, XML;parameter, thing, software, device;-
Zimmermann (2019);https://ieeexplore.ieee.org/abstract/document/8869473;Y;rsch;6, 8, 9;X;-;-;-;-;Composed Skill;mount Caps, move To Pick Pos, move To Press Position, move To Wait Position, pick Cap, press In, station Init;BasicSkill;homing, move Absolute, move To Record Position, drive Enable, release, grip;Skill instance;homing, move Absolute, move To Record Position, drive Enable, release, grip;-;-;-;-;-;-;X;OPC UA, PLCOpen, IEC 61131-3, C++;-;-
Weser (2009);https://ieeexplore.ieee.org/document/5353901;Y;rsch;-;-;X;AUT;Actions;focus on action, focus on perception;Skill;dock on, pick, place, path planning, follow, open use, detect and track;Action, Behavior;color based detection;-;-;-;-;Goal;-;Plan;-;X;PDDL;-;-
Haracuba (2015);https://ieeexplore.ieee.org/document/7301482;Y;rsch;-;X;X;STD;Skill type with level;-;-;-;-;-;-;-;Job;-;Goal;-;Process;-;-;-;-;-
Hildebrandt (2017);https://ieeexplore.ieee.org/document/8247585;Y;rsch;8;X;X;STD;-;-;POU;-;Functional unit;-;-;-;System behavior;-;-;-;Function/Process;-;X;Automation ML, OWL, PLCOpen;data element, parameter, state, property;MACH
Kattepur (2018);https://ieeexplore.ieee.org/document/8592800 ;Y;rsch;-;-;X;STD;Actions;movement plan, grasp plan, perception;Action;Pick and place, path planning, lifting, grasping, object recognition;Actionable subgoal;open gripper, grab, pick, move;-;-;Task description;-;Goal;-;-;-;X;RoboDK, ORC;goal, target, world, robot;MACH
Sahinel (2021);https://www.sciencedirect.com/science/article/abs/pii/S0278612521000571;N;scopus2;-;-;-;AUT;-;-;Skill;-;-;-;-;-;Task;-;-;-;-;-;-;MQTT, Websockets, OWL;-;HUM
Ramasubramanian (2020);https://www.sciencedirect.com/science/article/pii/S2212827120314487;N;scopus2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Barbosa (2019);https://link.springer.com/article/10.1007/s40430-019-1679-x;Y;scopus2;-;-;-;-;-;-;-;-;-;-;-;-;Task, work process;-;-;-;Process;-;-;-;-;-
Hasnan (2018);https://ieeexplore.ieee.org/document/8711184;N;scopus2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ersen (2017);https://ieeexplore.ieee.org/document/7894169;Y;scopus2/sur;-;-;X;AUT;-;planning, acting, adaptation, perception, reasoning, learning;Skill;-;Action;-;-;-;Task;-;Goal;-;-;-;-;-;-;-
Cencen (2015);https://www.springerprofessional.de/en/characterizing-the-state-of-the-art-of-human-robot-coproduction/6870890;N;scopus2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baldassarre (2013);https://www.springer.com/de/book/9783642398742;N;scopus2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Krushinitskiy (2013);https://ieeexplore.ieee.org/document/6719187;N;scopus2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chen (2009);https://www.emerald.com/insight/content/doi/10.1108/01439910910924666/full/html;N;scopus2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rangraz (2021);https://www.tandfonline.com/doi/full/10.1080/02601370.2020.1867249;N;scopus4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Isnaini (2019);https://aip.scitation.org/doi/pdf/10.1063/1.5139776;N;scopus4;-;-;X;AUT;-;computational thinking;-;abstraction, algorithm, decomposition, generalization, analysis logic, evaluation;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Huckaby (2012);http://www.jakehuckaby.com/papers/aaai2012ws_cogrob.pdf;Y;scopus4;-;X;X;STD;assembly action;-;skill;fasten, coordinate, mobility, perception,detect, align, pickup, insert, slide, retract, transport, place, tool action, drill, hold, screw, glue, rivet, before, after, sync;skill primitive;detect, align, pickup, insert, slide, retract, transport, place, tool action, drill, hold, screw, glue, rivet, before, after, sync;-;-;-;-;-;-;-;-;-;UML sequence diagram;force, action recongition, torque, pose, object description, object recogntion;HUM/MACH
SIARAS (2008) ;https://cordis.europa.eu/docs/results/17/17146/121979181-6_en.pdf;N;rsch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Aertbelien (2014);https://lirias.kuleuven.be/retrieve/275426;N;rsch;-;-;-;-;-;-;-;-;-;-;-;-;task;-;-;-;specification;-;-;orocos, ros;joint variables, time variable, feature variable, expression graph, constraint;MACH
Pane (2020);https://ieeexplore.ieee.org/abstract/document/9340985;Y;rsch/sur;6, 7;X;-;STD;skill classification;controllable progress, uncontrollable progress, non-progressing skills;skill;cartesian motion, force based insertion, collision avoidance, admittance motion, move guarded, actuate gripper;-;-;-;-;Task;-;Goal;-;-;-;-;eTaSL;constraint, monitor;HUM
Thomas (2013);https://arxiv.org/ftp/arxiv/papers/1409/1409.6601.pdf;Y;pane;7;X;X;STD;-;-;skill;grasping object, transfering to plug pose, pull, push, screwing;elemental actions;spinning, open gripper, spinning back, close gripper;-;-;Task;grasping and plugging, grasping and screwing;-;-;-;-;-;UML/P, MontiCore, Eclipse;task frame, goal frame, stiffness values, stop condition;MACH
Stenmark (2016);https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjWhoK3_OnyAhU7AGMBHQ9gCL4QFnoECAkQAQ&url=https%3A%2F%2Fwww.aaai.org%2Focs%2Findex.php%2FFSS%2FFSS16%2Fpaper%2Fdownload%2F14091%2F13669&usg=AOvVaw3U3cjpPK_KJQGKlvKVW4--;Y;pane;7;X;X;STD;-;-;skill;pick, place, insert;primitive;free motion, contact motion, gripper action, locating action;-;-;task, sequence;-;goal;-;-;-;-;-;-;HUM
Nagele (2018);https://ieeexplore.ieee.org/document/8462885;Y;pane;-;X;X;STD;-;cartesian skills;skill;cartesian tracking, pick, guarded approach, guarded slide, pivot, retreat, screw, check input, push, turn screw driver, set output, unset output;-;cartesian tracking, pick, guarded approach, guarded slide, pivot, retreat, screw, check input, push, turn screw driver, set output, unset output;-;-;task;-;-;-;-;assembly;-;iTaSC;data source, kinematic link, kinematic chain, closed kinematic chain;MACH
Krueger (2010);https://link.springer.com/chapter/10.1007/978-3-642-16785-0_17;Y;thomas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Zander (2016);https://arxiv.org/pdf/1601.03998.pdf;Y;rsch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pane (2021);https://ieeexplore.ieee.org/document/9473021;N;scopus3-2021;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;eTaSL;-;-
Zhang (2021);https://en.x-mol.com/paper/article/1376422278703067136;N;scopus3-2021;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
He (2021);https://ieeexplore.ieee.org/document/9476632;N;scopus3-2021;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ji (2021);https://ieeexplore.ieee.org/document/9383829;Y;scopus3-2021;11;X;-;STD;-;-;skill;grasping set , inserting set , grasping, regrasping, inserting;action;approach, reach, pickup, put, flip, plug, screw, release;-;-;task;-;goal;-;-;assembly;-;CNN, XML, PDDL;object pose, object type;MACH
Pang (2021);https://ieeexplore.ieee.org/document/9515509;N;scopus3-2021;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mizanoor Rahman (2021);https://ieeexplore.ieee.org/document/9502881;N;scopus3-2021;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Su (2021);https://ieeexplore.ieee.org/abstract/document/9316273;N;scopus3-2021;-;-;-;AUT;-;-;skill;manipulation;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wang (2021);https://ieeexplore.ieee.org/abstract/document/8964480;N;scopus3-2021;-;-;-;AUT;-;-;skill;move, clean;-;-;-;-;-;-;-;-;-;table cleaning;-;-;-;-
Monforte (2021);https://ieeexplore.ieee.org/document/9070189;N;scopus3-2021;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Verner (2021);https://www.mdpi.com/2218-6581/10/1/13;N;scopus3-2021;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Omer (2021);https://ieeexplore.ieee.org/document/9429677;N;scopus3-2021;-;-;-;AUT;-;-;skill;manipulation;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bi (2021);https://www.sciencedirect.com/science/article/abs/pii/S0736584520302337;N;scopus3-2021;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Kumar (2021);https://ieeexplore.ieee.org/document/9474336;N;scopus3-2021;-;-;X;-;-;-;skill;seize, hold, moveByHold;action;grasp, reach, release, push;-;-;-;-;-;-;-;-;-;-;-;-
Martin (2021);https://ieeexplore.ieee.org/document/9469872;N;scopus3-2021;-;-;-;-;-;navigation, manipulation;task;inspection, spraying;action;-;-;-;-;-;-;-;-;-;-;ROS;-;-
Dong (2021);https://link.springer.com/article/10.1007/s00521-021-06192-3;N;scopus3-2021;-;-;-;-;-;-;-;-;motion primitives;squatting, standing, greeting;-;-;-;-;-;-;-;-;-;-;-;-
Mohamed (2021);https://www.cambridge.org/core/journals/robotica/article/abs/lead-through-approach-for-programming-a-welding-arm-robot-using-machine-vision/ED4867EE790AE8D6F527C2CA851D47D3;N;scopus3-2021;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Radicchi (2021);https://link.springer.com/chapter/10.1007/978-3-030-74602-5_38;N;scopus3-2021;-;X;-;-;-;perceptual;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rodic (2021);https://link.springer.com/chapter/10.1007%2F978-3-030-75259-0_26;N;scopus3-2021;-;X;-;-;-;-;-;manipulation;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Profanter (2019);https://ieeexplore.ieee.org/abstract/document/8869205/;Y;rsch;9;X;X;STD;SkillType;MoveSkillType, StreamSkillType, GripperSkillType;skill;MoveSkill, GripperSkill, PickPlaceSkill, LinearMoveSkill, PtpMoveSkill, PositionStreamSkill;(hierarchical skills, so no explicit primitve level);-;-;-;task;-;-;-;-;-;-;-;-;-
Acosta Calderon (2010);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5513180;Y;zech;-;-;X;AUT;-;-;action, complex action;Put In, Pick Up, Push In, Put On, Stack On, Put Close, Push Close, Push Away;atomic actions;Search, Approach, Reach, Grab, Carry;-;-;task;-;-;-;-;-;-;-;-;-
Aein (2013);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6697011;Y;zech;-;-;X;AUT;-;-;action;pushing, put on, take down, stirring, poking, pick and place, hiding;primitive action, primitives;ArmMovementPrimitives, HandMovementPrimitives;-;-;Semantic Event Chain;pushing, pick and place;-;-;-;-;-;-;-;-
Ahad (2010);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5543160;N;zech;-;-;-;-;-;-;action;-;-;-;-;-;action sequence;-;-;-;-;-;-;-;-;-
Hwang (2018);https://ieeexplore.ieee.org/iel7/7274989/7422051/07945519.pdf;Y;zech 2018;-;-;-;AUT;-;-;cognitive skill;left, right, tall, long;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ji (2018);https://www.sciencedirect.com/science/article/abs/pii/S0165168417302104;Y;zech 2018;-;-;-;AUT;-;-;action;pick up, put down, push, pull, wear, take off, stick, remove, dring, pour, phonecall, backpack, put in, mopping;sub-action;-;-;-;-;-;-;-;-;-;-;-;-;-
Zimmer (2018);https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7879193;Y;zech 2018;-;-;-;AUT;-;-;action;push;primitive action;-;-;-;task, sequence of actions;-;-;-;-;-;-;-;-;-
Dindo (2017);https://www.sciencedirect.com/science/article/abs/pii/S0921889015301706;N;zech2017;-;-;-;AUT;-;-;action;walk, raise leg, kick, stair ascent, stair descent;-;-;-;-;-;-;-;-;-;-;-;-;-;-
hardwick2017neural;https://www.biorxiv.org/content/10.1101/198432v1.abstract;N;zech2017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ahmad and Lee (2010);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ahmadzadeh (2015);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7139728;Y;zech (actions);-;-;-;AUT;-;-;action;push, pull;primitive action;-;-;-;-;-;-;-;-;-;-;-;-;-
Aksoy (2016b);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Aksoy (2013);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Aksoy (2016a);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Altahan (2015);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Andry et al (2004);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Asfour (2008);-;N;zech (actions);-;-;-;-;-;-;-;reaching, grasping, placing;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Babic (2011);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bartels ( 2013);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bessiere (1994);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bhat and Mohan (2015);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Buonamente (2013);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cantrell (2011);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chaaraoui (2012);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chella (2000);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chen (2014);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Chuang (2012);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Classen (2011);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dindo and Chella (2013);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dindo (2017);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Do (2014);-;Y;zech (actions);-;-;-;-;-;-;-;wiping;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Donarumma (2015);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Droniou (2014);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Endres (2015);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Englert (2013);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Farhadi (2008);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fihl (2006);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Grave (2012);https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6386116;N;zech (actions);-;-;-;-;-;-;-;grasp, move, retract, push;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Grinke (2015);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gritai (2009);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Guha (2013);-;N;zech (actions);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nakawala (2018);https://ieeexplore.ieee.org/abstract/document/8594256;N;rsch/sur;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Akkaladevi(2019);https://link.springer.com/article/10.1007%2Fs00502-019-00741-4;Y;scoups3-2019;7,8;X;-;-;-;-;skill macro;-;-;-; ;-;-;-;-;-;-;-;X;ROS,XRob Framework;start-position,end-position,offset,force torque;MACH/HUM
Steinmetz(2019);https://ieeexplore.ieee.org/document/8763979;Y;scoups3-2019;8;-;-;-;-;-;skill;Pick,Place,Stack,Peg-in-hole,Push, Hand-over;-;-;-;-;task;stacking,peg-in-hole,push button;-;-;-;-;X;Razer,RAFCON;PDDL Definition;MACH
Lindorfer(2019);https://ieeexplore.ieee.org/document/8972318;Y;scoups3-2019;7,8;-;-;-;-;-;skill;grip,release ;-;-;-;-;task;Pick&Place;-;-;-;-;-;ROS,SkiROS,OPC UA  ;-;-
Krueger(2019);https://www.sciencedirect.com/science/article/abs/pii/S0736584517304465;Y;scoups3-2019;7,8,9;X;X;-;-;-;skill;drive,place,pick;skill primitives;locate,arm_motion,registration,gripper_oc,ff_planer;-;-;task;kitting task;-;-;process;kitting process;-;-;-;-
Scherzinger(2019);https://ieeexplore.ieee.org/document/8967523/authors#authors;Y;scoups3-2019;7,8;-;-;-;-;-;Object-relative contact skills;tilting, jamming;-;-;-;-;task;-;-;-;-;-;-;ROS,LSTM;-;-
Johannsmeier(2019);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8793542;Y;scoups3-2019;7;-;-;-;-;-;skill,strategy;manipulation skill;primitive,transition;manipulation primitive, edge transition;-;-;-;-;-;-;-;-;X;novel graph-based skill formalism;X;MACH
Naegele(2019);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8675644;Y;scoups3-2019;8,9;-;X;-;-;-;-;-;sub-element;-;-;-;-;-;-;-;-;-;-;iTaSC;cartisian_chain;HUM/MACH
Angleraud(2019);https://www.degruyter.com/document/doi/10.1515/pjbr-2019-0025/html;Y;scoups3-2019;7,8;X;-;-;-;-;skill, Assemble;Pouring Get,Place;-;-;-;-;task;pick and place;-;-;-;-;X;Web app,natural language conversation;-;-
AI-Yacoub(2019);https://www.frontiersin.org/articles/10.3389/frobt.2019.00099/full;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pohlt(2019);https://ieeexplore.ieee.org/document/8913873;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ochoa(2019);https://ieeexplore.ieee.org/document/8927071;N;scoups3-2019;-;-;-;-;-;-;-;polishing;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jaensch(2019);https://ieeexplore.ieee.org/document/9027783;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Zhen(2019);https://ieeexplore.ieee.org/document/8869301;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Malik(2019);https://www.emerald.com/insight/content/doi/10.1108/IR-11-2018-0231/full/html;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Zhao(2019);https://ieeexplore.ieee.org/document/8931947;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cao(2019);https://ieeexplore.ieee.org/document/8931930;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
De Miguel Lazaro(2019);https://ieeexplore.ieee.org/document/8972238;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Yuan(2019);https://ieeexplore.ieee.org/document/8868401;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Liu(2019);https://www.emerald.com/insight/content/doi/10.1108/IR-09-2018-0189/full/html;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Singh Gill(2019);https://saemobilus.sae.org/content/2019-01-0505/;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Luo(2019);https://www.worldscientific.com/doi/abs/10.1142/S0219843619500099;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Perico(2019);https://ieeexplore.ieee.org/document/8637010;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gomes(2019);https://link.springer.com/article/10.1007%2Fs11047-016-9582-1;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
de Almeida(2019);https://www.sciencedirect.com/science/article/abs/pii/S0921889018303567?via%3Dihub;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Malik(2019);https://www.sciencedirect.com/science/article/pii/S2351978920302158?via%3Dihub;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hsieh S(2019);-;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Liang2019);http://www.iaarc.org/publications/2019_proceedings_of_the_36th_isarc/teaching_robots_to_perform_construction_tasks_via_learning_from_demonstration.html;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dianatfar(2019);https://www.sciencedirect.com/science/article/pii/S2212827119303336?via%3Dihub;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bilberg(2019) ;https://www.sciencedirect.com/science/article/abs/pii/S000785061930037X?via%3Dihub;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cini(2019);https://www.science.org/doi/10.1126/scirobotics.aau9757;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Changizi(2019);https://link.springer.com/chapter/10.1007%2F978-3-030-02053-8_79;N;scoups3-2019;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Rozo(2020);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9341570;Y;scoups3-2020;7,8,10;-;-;-;-;-;skill;grasp,re-orient,translate,attach, drop, pick, insert;-;-;-;-;Skills Sequence;-;-;-;process;assembly;X;C++.Python.ROS;-;HUM
